estacao data hora_gmt hora_local temp_bulbo_seco temp_bulbo_umido umidade_relativa pressao_atm lua_azimute lua_altitude lua_distancia sol_azimute sol_altitude sol_distancia latiude_estacao longitude_estacao altitude_estacao
82024 1976-09-25 00:00:00 0 28.5 25.5 78 999.5 261.96702317343664 -17.047215526447065 361786.5940194043 270.76676465397264 -31.399595715345736 150021341.66653293 2.82 -60.66 83.0
82024 1976-09-25 12:00:00 1200 28.0 24.796875 77 1000.5 101.3064706963876 9.295585779761138 358990.3633770508 92.90343620851125 31.33524460669196 149993327.3866323 2.82 -60.66 83.0
82024 1976-09-25 18:00:00 1800 32.5 23.796875 48 997.5 204.11914659576377 74.07354324667239 354045.92108346976 263.30452581301813 58.30292460201302 149980497.23205844 2.82 -60.66 83.0
82024 1976-09-26 00:00:00 0 27.796875 25.5 83 998.5 257.46545594877955 -3.6583445001916806 360950.44497954345 270.3151044096944 -31.503330833327144 149978515.61104196 2.82 -60.66 83.0
82024 1976-09-26 12:00:00 1200 26.0 24.09375 86 1001.5 104.297703993463 -4.429762807514074 361953.5819850143 93.36573135904509 31.392768530388125 149950316.03491503 2.82 -60.66 83.0
82024 1976-09-26 18:00:00 1800 32.8125 24.796875 52 999.0 158.2659884853702 70.50619024646304 355995.2778283895 262.59160422060984 58.16790879191289 149937418.29314452 2.82 -60.66 83.0
82024 1976-09-27 00:00:00 0 27.296875 25.296875 85 997.5 253.24675853353946 9.652122744082426 361668.29980438924 269.8625150827363 -31.604724713363296 149935360.3724552 2.82 -60.66 83.0
82024 1976-09-27 12:00:00 1200 26.703125 24.203125 82 1002.0 107.23312168068644 -17.97035537573637 366296.2640721168 93.8283538953821 31.447858659725416 149906999.56469983 2.82 -60.66 83.0
82024 1976-09-27 18:00:00 1800 34.5 23.796875 40 998.5 134.97503485276067 60.45481087980444 359644.5331469275 261.8842344095993 58.02976856419178 149894047.13320038 2.82 -60.66 83.0
82024 1976-09-28 00:00:00 0 29.296875 24.203125 66 997.5 248.9010378741399 22.705594392183226 363727.7256005768 269.40913155561384 -31.703688585075643 149891926.022846 2.82 -60.66 83.0
82024 1976-09-28 12:00:00 1200 26.09375 23.90625 83 1002.0 110.42215667723062 -31.199757637868842 371568.10505375965 94.29115275077301 31.500442160004514 149863433.22267133 2.82 -60.66 83.0
82024 1976-09-28 18:00:00 1800 32.3125 25.296875 57 999.0 123.5242113420432 48.69950935941401 364562.98685854085 261.18261320800315 57.88865075398849 149850441.1018005 2.82 -60.66 83.0
82024 1976-09-29 00:00:00 0 28.90625 25.796875 78 999.0 243.94196079831426 35.35710511183082 366818.0960765528 268.955091353328 -31.800131157503476 149848271.71095875 2.82 -60.66 83.0
82024 1976-09-29 12:00:00 1200 27.5 24.703125 80 1001.5 114.33037227463375 -44.0228738635571 377297.1213094701 94.75397471473492 31.550443616959612 149819678.83870625 2.82 -60.66 83.0
82024 1976-09-29 18:00:00 1800 34.5 24.703125 44 998.5 116.53070165679816 36.64097373360733 370276.59802672686 260.4869201166542 57.74471029024065 149806662.89771637 2.82 -60.66 83.0
82024 1976-09-30 00:00:00 0 30.296875 24.703125 63 999.0 237.56250837649804 47.460089638671896 370596.25054775114 268.5005336731136 -31.89395827423053 149804460.73444945 2.82 -60.66 83.0
82024 1976-09-30 12:00:00 1200 27.296875 24.0 76 1001.5 119.93839306554577 -56.34035350322749 383056.9677867135 95.21666513993733 31.59778506866091 149775800.1446031 2.82 -60.66 83.0
